question_content;question_content_image;answer_content;answer_content_image;box_number;last_reviewed
Quelle est le champ d'application de cette ordonnance OIBT ?;;Elle s’applique aux installations électriques. a) alimentées en courant fort, exploitées sous une tension n’excédant pas 1000 V en courant alternatif ou 1500 V en courant continu. b) alimentées selon la let. a, mais exploitées sous haute tension (installations à rayons X, au néon, ionisantes, pour peintures électrostatiques, pour clôtures électriques, etc.). Cette dernière s’applique toutefois dans son ensemble aux installations susceptibles de mettre en danger les personnes ou les choses.;;"1";
Quelles sont les limites de tension définissant le champ d'application de l'OIBT et quelles installations en sont exclues ?;;Champ d'application : Installations jusqu'à 1000 V AC ou 1500 V DC, ainsi que certaines installations haute tension alimentées en basse tension (néon, rayons X). Exclusions : Installations ferroviaires, téléphériques (installations à câbles), éclairage public (Art. 1 al. 2 et 5).;;1;
Où se situe le point de transition entre la ligne de raccordement du réseau et l'installation électrique intérieure ?;;Il est constitué par les bornes d'entrée du coupe-surintensité général (Art. 2 al. 2).;;1;
Que signifie l'acronyme CENELEC ?;;Comité Européen de Normalisation Electrotechnique (Art. 3 al. 2).;;1;
Que signifie l'acronyme IEC ?;;International Electrotechnical Commission (Art. 3 al. 2).;;1;
En l'absence de normes techniques spécifiques, sur quoi doit-on se baser pour garantir la sécurité des installations ?;;On doit appliquer les règles techniques reconnues, notamment les normes CEI et CENELEC. À défaut, les normes suisses (NIBT) s'appliquent (Art. 3 al. 1 et 2).;;1;
Quelle est l'exigence fondamentale concernant les perturbations électromagnétiques ?;;Les installations doivent être établies de façon à ne pas perturber exagérément d'autres installations (et inversement) et respecter l'Ordonnance sur la compatibilité électromagnétique (OCEM) (Art. 4 al. 1 et 3).;;1;
Le propriétaire est-il obligé de conserver la documentation technique et le rapport de sécurité ? Combien de temps ?;;Oui. La documentation technique (schémas, plans) doit être conservée toute la durée de vie de l'installation. Le rapport de sécurité (RS) doit être conservé au moins pendant une période de contrôle (Art. 5 al. 2).;;1;
Qui doit être titulaire d'une autorisation d'installer délivrée par l'Inspection ?;;Toute personne ou entreprise qui établit, modifie, entretient des installations électriques ou y raccorde des matériels fixes (Art. 6).;;2;
Quelles sont les trois conditions pour qu'une personne physique obtienne une autorisation générale d'installer ?;;Être du métier ; avoir une formation à jour (formation continue) ; offrir toute garantie de respecter l'ordonnance (Art. 7).;;2;
Quel est le diplôme principal permettant d'être reconnu comme personne du métier ?;;L'examen professionnel supérieur (maîtrise) d'expert en installation et sécurité électriques (Art. 8 al. 1).;;2;
Une succursale d'une entreprise d'électricité a-t-elle besoin de sa propre autorisation d'installer ?;;Non, mais elle doit respecter les mêmes exigences que l'entreprise principale (personnel qualifié, organisation) (Art. 9 al. 2).;;2;
Quel est le taux d'encadrement maximal autorisé pour un Responsable Technique (RT) à plein temps ?;;Un RT à plein temps peut surveiller 20 personnes occupées à des travaux d'installation (Art. 10 al. 1).;;2;
Un électricien de montage peut-il effectuer seul une mise en service ?;;Uniquement pour les installations rentrant dans le cadre de sa formation. Pour les autres, il doit être surveillé par une personne du métier ou un installateur-électricien CFC (Art. 10a al. 3).;;2;
